FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
120707;0100;;;;
120707;0200;;;;
120707;0300;;;;
120707;0400;;;;
120707;0500;;;;
120707;0600;;;;
120707;0700;;;;
120707;0800;;;;
120707;0900;;;;
120707;1000;;;;
120707;1100;;;;
120707;1200;;;;
120707;1300;;;;
120707;1400;;;;
120707;1500;;;;
120707;1600;;;33,71;
120707;1700;;;53,95;
120707;1800;;;96,3999;
120707;1900;;;67,4298;
120707;2000;;;163,2;
120707;2100;;;482,1;
120707;2200;;;334,4;
120707;2300;;;471,3;
120708;0000;;;621,698;
120708;0100;;;511,1;
120708;0200;;;445,7;
120708;0300;;;317,6;
120708;0400;;;66,7599;
120708;0500;;;31,02;
120708;0600;;;25,62;
120708;0700;;;24,95;
120708;0800;;;20,9;
120708;0900;;;23,6;
120708;1000;;;36,74;
120708;1100;;;44,5;
120708;1200;;;41,11;
120708;1300;;;25,95;
120708;1400;;;24,94;
120708;1500;;;27,63;
120708;1600;;;31;
120708;1700;;;41,1299;
120708;1800;;;76,21;
120708;1900;;;80,2998;
120708;2000;;;102,5;
120708;2100;;;135,5;
120708;2200;;;71,47;
120708;2300;;;95,7;
120709;0000;;;115,3;
120709;0100;;;70,1299;
120709;0200;;;49,9;
120709;0300;;;43,83;
120709;0400;;;18,2;
120709;0500;;;18,2;
120709;0600;;;18,88;
120709;0700;;;13,49;
120709;0800;;;14,16;
120709;0900;;;28,33;
120709;1000;;;24,95;
120709;1100;;;26,97;
120709;1200;;;38,43;
120709;1300;;;31,02;
120709;1400;;;33,04;
120709;1500;;;33,71;
120709;1600;;;37,7599;
120709;1700;;;28,99;
120709;1800;;;28,99;
120709;1900;;;39,78;
120709;2000;;;45,86;
120709;2100;;;39,79;
120709;2200;;;35,74;
120709;2300;;;30,35;
120710;0000;;;15,51;
120710;0100;;;8,09;
120710;0200;;;8,76999;
120710;0300;;;8,76999;
120710;0400;;;5,396;
120710;0500;;;6,071;
120710;0600;;;6,74599;
120710;0700;;;15,18;
120710;0800;;;18,22;
120710;0900;;;17,54;
120710;1000;;;16,19;
120710;1100;;;18,22;
120710;1200;;;26,31;
120710;1300;;;12,14;
120710;1400;;;17,54;
120710;1500;;;28,33;
120710;1600;;;32,37;
120710;1700;;;47,87;
120710;1800;;;100,5;
120710;1900;;;72,84;
120710;2000;;;99,1;
120710;2100;;;42,49;
120710;2200;;;36,42;
120710;2300;;;25,97;
120711;0000;;;20,91;
120711;0100;;;16,87;
120711;0200;;;14,84;
120711;0300;;;12,82;
120711;0400;;;21,59;
120711;0500;;;12,81;
120711;0600;;;24,28;
120711;0700;;;24,28;
120711;0800;;;116;
120711;0900;;;89;
120711;1000;;;49,22;
120711;1100;;;26,29;
120711;1200;;;9,43999;
120711;1300;;;8,75998;
120711;1400;;;6,738;
120711;1500;;;14,15;
120711;1600;;;21,56;
120711;1700;;;31,67;
120711;1800;;;55,27;
120711;1900;;;107,9;
120711;2000;;;122;
120711;2100;;;550,5;
120711;2200;;;445,1;
120711;2300;;;501,1;
120712;0000;;;348,7;
120712;0100;;;332,5;
120712;0200;;;108,6;
